SUSCEPTIBLE     INFECTED        RECOVERED       TIMESTAMP(i)
99              1               0               0
95              5               0               1
70              30              0               2
7               79              14              3
0               40              60              4
0               4               96              5
0               1               99              6
0               0               100             7

CODE    INSTANT OF INFECTION    SHORTEST DISTANCE
0               2       =       2
1               2       <       3
2               2       >       1
3               2       <       4
4               2       =       2
5               2       <       3
6               2       <       5
7               2       =       2
8               2       >       1
9               1       =       1
10              1       =       1
11              1       =       1
12              3       >       2
13              2       =       2
14              2       =       2
15              2       <       3
16              1       =       1
17              2       >       1
18              3       >       2
19              3       =       3
20              3       <       5
21              3       >       1
22              3       <       4
23              2       <       5
24              3       >       1
25              3       >       1
26              2       =       2
27              3       >       2
28              3       >       2
29              3       <       5
30              2       >       1
31              3       =       3
32              3       >       2
33              3       >       1
34              2       <       5
35              3       >       1
36              3       >       2
37              2       >       1
38              3       <       6
39              3       >       1
40              3       >       1
41              3       >       2
42              3       >       2
43              3       >       1
44              3       <       4
45              2       =       2
46              2       >       1
47              4       >       1
48              3       >       2
49              2       <       3
50              3       >       1
51              3       <       4
52              2       <       3
53              3       =       3
54              2       <       4
55              3       >       1
56              2       <       3
57              3       >       1
58              3       >       2
59              2       >       1
60              3       >       2
61              3       >       2
62              3       >       1
63              3       >       1
64              3       <       6
65              3       >       1
66              3       >       1
67              3       >       2
68              4       >       2
69              3       >       1
70              3       >       2
71              3       >       2
72              0       =       0
73              3       <       4
74              3       >       1
75              3       >       2
76              3       >       2
77              3       >       1
78              3       >       1
79              3       >       1
80              3       >       2
81              4       >       1
82              3       >       2
83              3       >       2
84              3       >       2
85              3       >       2
86              3       >       2
87              3       >       1
88              3       >       1
89              3       >       1
90              3       >       1
91              3       >       1
92              3       <       5
93              4       =       4
94              4       >       2
95              4       >       1
96              3       >       1
97              4       >       2
98              3       >       1
99              3       >       1
